Year, Lbs/year,Oz/day,G/day
1970,150.774617,6.609298278,187.3703015
1971,150.2454528,6.586102039,186.7126997
1972,150.7700624,6.609098625,187.3646415
1973,149.8431867,6.568468457,186.2127965
1974,146.7626669,6.433431974,182.3845798
1975,149.4002346,6.54905138,185.6623321
1976,152.5208765,6.685846643,189.5404094
1977,152.8138307,6.698688468,189.9044687
1978,147.5162824,6.466467173,183.3211111
1979,149.959101,6.573549631,186.3568453
1980,151.6330795,6.646929512,188.4371282
1981,148.5123722,6.510131385,184.5589697
1982,150.495994,6.59708467,187.0240518
1983,151.4009569,6.636754275,188.1486653
1984,156.9097769,6.878236795,194.994574
1985,159.1324583,6.975669404,197.7567398
1986,159.9278655,7.010536571,198.7452065
1987,162.5123735,7.123830072,201.9570206
1988,164.576373,7.214306764,204.5219896
1989,169.112463,7.413149064,210.1590694
1990,170.0450522,7.454029685,211.3180145
1991,174.3246178,7.64162708,216.6363069
1992,174.9912949,7.670851281,217.4647984
1993,179.4965265,7.868340886,223.0635299
1994,182.1191147,7.983303656,226.322667
1995,179.5443098,7.870435498,223.1229112
1996,183.6864395,8.052008308,228.2704095
1997,183.2328523,8.032125032,227.7067286
1998,180.5397993,7.914073394,224.3600237
1999,183.6945865,8.052365434,228.2805339
2000,183.9030309,8.061502724,228.5395715
2001,180.0376359,7.892060752,223.7359763
2002,178.7488029,7.835563961,222.1343205
2003,181.844784,7.971278204,225.9817514
2004,182.8719633,8.016305242,227.2582454
2005,177.7775194,7.792987151,220.9272892
2006,173.6477774,7.611957365,215.7951853
2007,172.773713,7.573642216,214.70897
2008,167.4572053,7.340589823,208.1020512
2009,166.6094212,7.303426685,207.0484948
2010,169.5280734,7.431367599,210.6755558
2011,161.6408823,7.085627718,200.874003
2012,164.1860568,7.197197009,204.0369366
2013,160.8353472,7.050316589,199.8729501
2014,162.444105,7.120837481,201.8721822
2015,162.1869653,7.109565602,201.55263
2016,170.2317547,7.462213904,211.5500331
2017,171.9236824,7.536380599,213.6526218
2018,171.0980529,7.500188622,212.6265973
2019,160.624666,7.04108125,199.6111329